i1,i2,i3,i4,i5,i6,i7,i8,i9,i10
2697,3015,683,682,1291,604,645,643,607,1101
1238,1204,1277,1276,1317,1355,1315,1240,1203,1316
3037,1288,2942,1139,1252,1291,1289,1215,1253,1101
345,156,79,115,154,153,155,116,114,152
1252,1139,1288,1289,1291,2942,1250,1215,1253,1101
1062,2733,2735,2773,2809,2772,1101,2734,2983,2697
2942,1595,3037,1139,1252,1291,1289,1215,1253,1101
1252,1289,531,492,2011,2773,493,1291,2697,1101
1484,1482,1026,2280,1293,1444,2242,1406,1445,1483
35,71,33,3012,113,73,34,37,72,36
1250,3037,1252,1253,1288,2942,1289,1062,1291,1101
1355,1316,1238,1315,2966,1239,1241,1277,1203,1240
1108,1145,1642,1146,2984,2212,1221,1907,2209,1412
2479,2517,2515,2478,2438,2514,2476,2516,2477,2553
1253,492,1215,1595,2773,493,1289,2810,1101,2011
2804,2848,2838,2839,2881,2849,2886,2811,2842,2880
1252,1250,2942,1442,1288,1139,1101,1289,1253,1215
2020,2245,2207,1181,1371,1412,1221,2209,2984,1410
1143,1218,838,953,950,912,2985,914,951,1102
990,2280,1406,912,2167,950,1064,951,988,1026
1181,1410,1143,1907,1905,1221,2212,2984,1412,2209
1442,1291,1250,2942,1139,1288,1101,1289,1253,1215
1252,2942,1291,1442,1288,1139,1101,1289,1253,1215
1252,1291,1139,2942,1288,1250,1289,1101,1215,1253
71,226,2811,74,113,227,72,3012,151,36
116,399,121,194,114,119,152,154,155,156
403,519,443,173,520,518,400,364,481,399
1252,1442,2942,1291,1288,1139,1101,1289,1253,1215
2439,2514,2553,2517,2516,2209,2478,2476,2438,2477
2171,1181,1410,1143,1905,2212,1221,2984,1412,2209
1181,2212,1108,1146,1107,2209,1410,2984,1221,1412
2514,2438,2589,2842,2477,2839,2880,2551,2667,2476
1355,1316,1263,1238,1239,2966,1277,1203,1241,1240
1907,1181,1107,1146,2212,1410,2984,2209,1221,1412
302,1253,1215,1289,531,1595,1101,2011,492,493
612,573,155,571,913,116,152,912,950,951
531,1252,492,2011,493,1595,1253,1289,1215,1101
2942,1252,1291,1442,1288,1139,1101,1289,1253,1215
1252,1442,1595,1291,1288,1139,1101,1289,1253,1215
2474,2514,2551,2209,2437,2516,2478,2477,2438,2476
1252,2942,1442,1291,1288,1139,1101,1289,1253,1215
1070,1374,1412,1337,1224,1223,1062,2987,1101,1221
1250,1442,1291,2942,1288,1139,1101,1289,1253,1215
1146,1145,2171,1107,1070,1412,1182,1181,1143,1221
1905,2207,2247,1143,1181,1412,1410,1221,2984,2209
1139,1289,1062,2942,1291,1288,1215,1250,1253,1101
1238,1355,1315,1204,2966,1316,1277,1241,1203,1240
2966,1315,1238,1239,1277,1355,1241,1316,1203,1240
1355,1315,1316,1238,2966,1239,1277,1203,1241,1240
1410,2209,1108,1070,2984,1181,1146,1107,1412,1221
2808,2697,2734,1101,2811,2770,2998,2809,2773,2810
71,2811,226,74,113,227,3012,72,151,36
1032,1316,1187,1108,1107,1071,2935,1070,1221,1072
193,114,156,152,116,520,121,155,117,119
1442,1252,1291,1288,1595,1139,1101,1289,1253,1215
31,3012,33,35,113,72,73,34,37,36
1108,1181,1107,2212,1410,1146,2984,2209,1221,1412
1252,2942,1442,1291,1288,1139,1101,1289,1253,1215
1108,1259,1187,1261,1224,1070,1223,1412,1072,1221
404,3016,400,480,399,519,443,364,520,481
1595,1252,1442,1288,1291,1139,1101,1289,1253,1215
2438,1066,1412,2209,1182,2171,1067,1181,1143,1221
439,404,400,518,443,519,399,364,520,481
1146,1143,2212,2247,1181,2209,2984,1410,1221,1412
798,156,157,117,114,154,119,155,116,152
2845,2810,2886,2846,2847,2773,2998,2848,2849,2811
1143,1146,1905,1221,1410,1907,2212,2984,2209,1412
2666,2842,2880,2839,2438,2589,2551,2477,2476,2667
1252,1595,1291,1442,1288,1139,1101,1289,1253,1215
