,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10
1,195,196,185,118,123,262,189,187,224,228
2,201,615,250,404,159,239,364,365,440,402
3,531,1102,646,608,606,570,569,605,644,3016
4,120,156,123,89,125,122,119,84,91,88
5,1400,719,185,529,1102,1398,570,2087,569,646
6,184,189,3016,224,185,569,644,3013,228,646
7,224,189,188,3013,646,228,569,606,644,3016
8,185,606,189,224,188,569,3013,228,3016,644
9,1521,1598,1522,3034,1789,2015,1901,1484,1939,1977
10,23,2690,2731,148,25,69,187,68,644,20
11,228,185,224,570,3016,606,569,605,644,646
12,1126,1049,1123,3012,1085,2994,1206,123,365,404
13,1391,1361,1321,1359,719,1358,1320,1398,3004,1319
14,2437,2477,2480,2840,2801,2921,2517,2690,2881,2882
15,262,569,340,188,3013,224,189,644,228,3016
16,2953,2898,2840,2881,2894,2803,2889,2843,2801,2882
17,2736,1366,2731,2774,2772,1102,2237,1327,644,3016
18,1144,1370,1827,1319,1793,1373,1296,3005,1754,1789
19,382,610,193,653,2512,651,156,498,537,499
20,537,647,270,571,2512,268,499,574,269,536
21,1358,2546,1180,1369,1380,1320,3004,719,1144,1319
22,1366,3016,2275,2772,644,2087,1327,1102,2237,2238
23,2734,1102,2773,2736,2731,2772,2774,644,3016,2237
24,646,2126,2730,2810,2542,2087,1102,2649,1327,2238
25,2890,2953,20,152,2855,2899,2898,2896,2889,2894
26,305,156,267,233,269,118,361,196,195,270
27,364,248,400,440,249,402,362,361,363,171
28,2734,2736,2731,606,2774,1102,2772,3016,644,2237
29,2519,2518,2561,2437,2480,2478,2512,2477,2690,2517
30,1793,1371,3039,1489,1369,1298,1410,1319,1144,1296
31,1327,1369,1319,1410,1298,1334,3005,1144,1793,1296
32,2916,2550,2843,2593,2554,2512,2553,2801,2881,2882
33,966,123,965,2953,997,995,999,2331,2103,402
34,3039,1369,719,3004,1793,1298,1410,1296,1144,1319
35,377,301,453,3016,416,644,303,342,2935,340
36,305,498,420,156,537,499,270,610,268,269
37,228,453,569,606,303,342,2935,644,3016,340
38,2275,2736,2731,606,2772,1102,2774,3016,644,2237
39,2731,2773,2736,1102,606,2772,2774,3016,2237,644
40,2517,2433,2515,837,2514,2395,2510,2477,2513,2512
41,2734,1102,2731,2736,2772,2773,2774,644,3016,2237
42,2441,2401,2480,2357,2435,2438,402,2437,2436,3035
43,2736,2731,606,2772,2275,1102,2238,3016,644,2237
44,498,118,156,2517,537,2477,536,499,2513,2512
45,1373,1793,1369,2513,2512,3005,1754,1319,1789,1296
46,1369,2087,2730,2810,1382,2690,2542,646,1327,3035
47,404,328,402,162,363,365,364,3012,440,123
48,435,328,134,400,364,123,327,81,440,402
49,1162,1049,1126,1123,1206,1055,1121,2994,1085,123
50,2059,1793,719,3004,692,1298,1942,1296,1319,1144
51,262,646,569,224,188,189,3013,228,644,3016
52,2890,20,152,2899,2953,2855,2896,2898,2889,2894
53,364,692,727,729,2059,694,2995,2955,440,402
54,358,305,363,156,498,362,537,499,610,361
55,2275,2736,2772,1102,2731,2774,606,2237,3016,644
56,1398,184,185,20,187,644,151,2690,3013,188
57,1334,1144,1216,1371,1319,1369,1410,1296,3035,1327
58,2734,1102,2773,2772,2736,644,2731,2774,3016,2237
59,1218,1941,2951,1795,402,2606,2059,1382,1327,3035
60,397,364,400,249,440,402,171,363,362,361
61,2773,228,1102,2772,2774,2736,2731,2237,644,3016
62,193,651,269,498,537,2513,574,2512,499,536
63,397,364,400,249,440,402,171,363,362,361
64,1334,1369,1319,1789,3005,1370,3035,1327,1793,1296
65,156,267,498,537,361,610,268,270,499,269
66,188,2877,2889,2841,2845,2916,2840,2843,2881,2882
67,800,1378,799,1183,1415,765,762,1375,684,837
68,3013,270,268,2623,2661,1218,228,1369,269,267
69,2237,2773,2772,2774,2087,1102,1366,1327,3016,644
70,226,187,223,262,184,227,185,189,224,228
71,188,570,189,3013,606,569,646,228,644,3016
72,1102,608,2087,570,606,569,605,646,3016,644
73,233,193,499,267,196,268,195,270,361,269
74,168,130,165,163,161,120,3012,162,159,123
75,606,2275,2734,608,2774,2090,2087,2773,2508,2238
76,2690,1371,2517,2554,1146,1147,3039,1410,1418,1369
77,2729,2736,2087,2769,2808,2810,2731,2768,2690,1102
78,687,1942,1418,1446,3039,651,1410,1144,1369,686
79,2810,1400,228,2087,224,184,185,2690,1398,646
80,2843,2839,2918,2661,2840,2921,2841,2916,2881,2882
81,1217,1375,2546,1193,1418,1181,1144,1319,1180,1218
82,1345,1085,1193,404,1320,440,806,1319,365,364
83,651,1369,1144,1942,1319,2513,1398,1940,2661,2512
84,158,268,343,232,193,196,269,270,194,195
85,1404,2508,2090,606,2087,1102,1327,1366,3016,644
86,2546,1181,1418,1144,1218,1180,1345,1193,1320,1319
87,123,195,122,3024,120,196,156,84,119,88
88,651,2512,692,499,3005,574,728,687,1793,536
89,248,364,400,249,440,171,402,362,361,363
90,2087,1404,644,2772,2731,2736,1366,1102,1327,3016
91,234,122,84,120,88,25,156,195,119,196
92,185,187,262,3013,644,188,224,3016,189,228
93,692,1827,1940,1793,3005,1296,2513,1754,2512,1789
94,2734,1366,2090,2238,2508,2275,1327,2087,2237,1898
95,2772,2087,1366,1102,3016,2238,2774,644,1327,2237
96,2512,2517,2882,2913,1327,2917,2924,3035,2921,2916
97,2772,2774,2773,2090,2734,2508,1366,2087,1327,2237
98,2843,2585,2590,2509,2553,2554,2593,2881,2587,2882
99,1564,1418,1380,1369,1298,1375,3039,1319,1410,1144
100,1404,2508,2774,2772,2090,2773,2734,2087,1366,1327
101,2648,2606,2688,2650,2644,2687,1361,2653,2646,1398
102,2087,1898,606,2772,2774,1102,1327,3016,644,2237
103,2731,2773,2087,2774,2772,1102,1366,3016,1327,644
104,2773,1102,2087,2774,2772,606,2238,3016,644,2237
105,185,606,224,189,188,569,3013,228,3016,644
106,1369,1373,1298,692,1410,1144,1319,3005,1754,1296
107,122,123,120,91,156,84,88,195,119,196
108,2736,2731,1102,2773,2774,2772,606,2237,3016,644
109,498,270,537,2513,2512,268,499,574,269,536
110,2731,2736,1366,2772,1102,2773,2774,3016,644,2237
111,1180,1418,3039,1380,719,1358,3004,1320,1144,1319
112,1484,1522,2512,1598,1901,1521,2015,3034,1939,1977
113,2773,1102,2731,2736,2774,2772,606,2237,644,3016
114,194,269,233,363,171,362,196,195,270,361
115,1094,2994,2977,1092,1056,3004,1017,1054,3025,1055
116,1323,1193,184,1400,2517,1399,2690,1361,1398,2649
117,1123,1207,3025,1055,1085,1017,1278,3004,1206,2994
118,2509,2554,2690,2517,2395,2515,2477,2514,2513,2512
119,3004,2684,1398,2687,2644,1319,365,2564,2606,2646
120,1597,1939,3034,2513,1598,2243,2319,1977,2281,2512
121,1121,1055,1162,1018,1123,3025,1054,2977,1085,1017
122,2773,2772,1366,1898,2774,2087,2238,2275,1327,2237
123,1053,1092,1116,1118,1079,1017,1088,2977,1055,1054
124,1711,1901,3034,1939,2015,989,1522,951,1484,1977
125,1361,2443,1319,2924,2480,2916,2517,1398,2921,1399
126,122,91,3024,156,84,119,195,120,123,196
127,606,2774,2087,1366,2772,1102,3016,644,1327,2237
128,3013,646,453,2731,2736,569,606,228,3016,644
129,2435,1369,719,2401,2517,1371,2606,1327,1319,3035
130,1206,1193,1321,1391,1345,719,1358,3004,1320,1319
131,1144,1193,1369,1942,2546,1375,1319,1181,1218,1180
132,2890,2953,20,152,2855,2899,2898,2896,2894,2889
133,328,325,436,326,404,402,363,364,365,440
134,2734,1102,2731,2736,2773,2772,2774,3016,644,2237
135,454,377,341,301,337,303,342,416,2935,340
136,1366,1327,2731,2736,2774,1102,2772,3016,644,2237
137,644,2087,1898,2773,2772,2238,2774,1327,2275,2237
138,2433,2510,2514,1369,2513,2553,2515,2512,2554,2477
139,2773,2736,2731,1102,2772,606,2774,3016,644,2237
140,1391,1359,1418,1144,1320,1398,1358,719,3004,1319
141,2237,2772,2090,3016,1366,1327,644,1102,2087,2238
142,326,1206,3012,2994,328,123,364,404,440,365
143,803,365,435,1319,364,2995,363,361,402,440
144,365,249,2995,364,362,400,361,363,440,402
145,1102,2736,2731,606,2275,2772,2774,3016,644,2237
146,493,3013,646,531,453,228,569,606,3016,644
147,402,1371,1193,440,2059,2951,1406,1382,1327,3035
148,2687,2771,2480,2882,184,151,2437,2517,1398,2690
149,1079,1053,1091,1092,1128,1017,1088,1055,2977,1054
150,2734,2773,1102,2736,2774,2731,2772,2237,644,3016
151,2731,2890,20,152,2855,2898,2899,2896,2894,2889
152,1102,2734,2275,1366,1327,2773,644,2772,2774,2237
153,1102,2774,2690,2734,2772,2773,2508,2237,3016,644
154,364,365,1418,1320,803,1180,806,1218,1144,1319
155,1128,2726,1092,3004,3025,1017,2994,2977,1054,1055
156,606,1102,2773,2736,2731,2772,2774,3016,644,2237
157,2773,2087,1366,2774,1102,1327,3016,2772,644,2237
158,2773,1102,2736,2731,2772,2774,606,3016,644,2237
159,2238,2736,2087,1366,3016,1102,2772,644,1327,2237
160,435,362,249,327,2995,364,363,400,440,402
161,2736,2090,3016,644,1366,2772,2237,1102,2087,1327
162,328,1017,165,1054,3025,2977,123,2726,1055,2994
163,2734,2773,2774,2731,2736,606,2772,2237,3016,644
164,606,1366,2238,2087,2772,3016,1102,644,1327,2237
165,2774,1366,2736,2731,1327,2772,1102,3016,644,2237
166,397,364,400,249,440,402,171,363,362,361
167,1860,2275,2772,1898,1366,2087,1327,1102,2237,2238
168,1679,1380,1418,25,2243,1716,2281,1677,2513,2512
169,382,195,498,420,268,537,269,499,270,610
170,2773,1102,606,2736,2774,2731,2772,3016,644,2237
171,2887,2845,2801,2843,2840,2792,2839,2841,2881,2882
172,301,606,453,416,303,644,342,2935,3016,340
173,1278,1162,1358,1085,1126,1320,1319,1206,2994,3004
174,1102,2736,2774,2734,2508,2772,2773,2690,3016,644
175,323,364,400,249,440,402,171,363,362,361
176,1418,2439,2690,2517,2515,2395,2514,2477,2513,2512
177,2609,1384,2648,1399,2646,2653,2650,1361,1398,2649
178,2561,2727,2649,2513,2512,2517,3035,2477,1369,2690
179,2731,2774,2773,2734,2736,2690,2772,2237,3016,644
180,2898,2894,2896,148,3013,2899,152,2889,151,188
181,185,228,187,224,148,152,151,189,188,3013
182,1598,2512,1484,1521,1901,1522,3034,2015,1939,1977
183,1018,1088,1128,1092,3004,3025,1017,2977,1054,1055
184,1102,606,2772,2238,1327,2774,3016,644,2275,2237
185,451,2736,2772,606,2690,452,3016,2087,644,453
186,1319,327,2603,328,326,404,402,364,365,440
187,1162,1089,1153,1085,1320,1126,1206,2994,1319,3004
188,1206,2566,2684,1358,2644,2606,1320,3004,2646,1319
189,2509,2243,3034,1521,1598,1901,1939,2513,2512,1977
190,1094,1128,1018,3004,1017,2994,3025,1054,2977,1055
191,2774,2238,2736,3016,2773,2734,1102,644,2772,2237
192,224,303,606,189,342,2935,228,3016,340,644
193,1366,1327,2774,2736,1102,2731,2772,3016,644,2237
194,1123,81,440,1055,1121,1085,44,3012,162,123
195,2542,2517,2963,1361,1369,1319,1398,2477,2512,2513
196,1942,1380,1298,3039,1369,1320,1418,1180,1319,1144
