,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10
1,753,259,371,408,479,528,621,646,683,715
2,863,520,559,562,595,525,666,630,629,557
3,681,683,715,719,753,755,756,987,1024,2011
4,87,85,46,92,58,90,89,49,86,88
5,681,1785,2578,676,1820,2126,683,719,753,715
6,2728,2767,677,679,715,753,755,2727,716,2763
7,756,987,681,73,605,607,296,646,719,683
8,2937,72,188,114,38,71,73,35,36,296
9,1522,1977,2015,2016,2092,2130,2167,2168,2931,2960
10,107,150,71,114,75,38,152,35,36,73
11,681,715,677,753,754,716,848,259,719,755
12,1164,1208,1207,1199,1334,1049,1203,1017,1168,559
13,2647,949,1776,2421,1130,1149,1168,1186,1148,2081
14,2718,2719,2758,2679,2754,2674,2676,2677,2716,2982
15,532,340,227,570,303,263,569,3016,266,2935
16,2917,2921,2887,2888,2884,2968,2845,2847,2886,3018
17,530,1976,1936,1899,1862,456,645,1938,1900,568
18,1107,1450,953,1103,1182,1032,952,1145,1181,1183
19,503,500,654,658,427,622,3026,656,615,653
20,838,917,953,989,1027,1065,2243,2281,3023,3026
21,1184,1450,1452,1149,1189,1148,1183,1187,1188,1186
22,719,684,2241,2354,2697,2505,2810,2771,645,2938
23,2013,1443,2012,646,644,722,1671,683,1102,1063
24,759,2657,758,2617,755,794,2505,681,756,719
25,1327,263,38,30,152,148,70,35,73,36
26,178,162,177,255,330,254,292,372,426,123
27,365,292,371,177,214,178,254,175,174,216
28,1633,684,722,2938,568,1102,683,645,644,2697
29,2678,2679,2683,2716,2718,2719,2720,2721,2723,2758
30,1224,1189,1181,1452,1186,1187,1145,1188,1450,1183
31,1229,1191,1453,1147,1230,1228,1109,1149,1188,1186
32,2512,2885,2716,2881,2886,2845,2677,2674,2676,3018
33,2153,2267,2270,672,790,1470,1586,2005,2228,2081
34,1450,1168,1188,1125,1130,1181,1148,2081,1149,1186
35,266,570,263,228,3013,303,340,3016,569,2935
36,382,383,2978,3024,533,419,3026,305,384,422
37,340,263,606,568,531,570,644,2935,569,3016
38,3013,684,644,3016,570,569,683,532,645,568
39,684,530,644,683,3016,531,532,645,569,568
40,2632,2593,2550,2515,2513,2395,2281,2477,2514,2512
41,2772,2696,2984,2695,684,2734,1102,2808,722,683
42,2086,2690,2087,1096,2158,1095,2763,679,716,3018
43,2012,2697,2013,722,760,1102,2657,756,2696,2938
44,917,841,879,880,920,2213,840,878,918,919
45,1522,1450,1107,1220,1145,1103,952,1182,1181,1183
46,792,2087,830,756,716,2086,793,681,2763,3018
47,559,709,630,557,595,560,562,666,629,561
48,1625,2005,2228,2267,484,562,672,751,1134,2081
49,2382,1163,789,559,1199,1049,1208,1017,1161,1168
50,1071,1181,1147,1149,1032,1038,884,1306,1186,1109
51,2773,2810,722,646,35,683,70,73,36,2771
52,1327,263,38,148,152,30,70,35,73,36
53,840,848,882,844,885,843,1306,1038,884,886
54,254,472,474,434,427,178,179,216,256,426
55,645,646,3016,532,530,531,683,3013,569,568
56,37,296,114,262,72,71,36,73,38,35
57,1147,847,1454,884,1453,1188,1181,1149,1186,1109
58,1101,2126,2166,2984,2774,2773,1026,1063,683,1102
59,1162,1186,1470,1472,1679,2081,2480,884,1040,1678
60,330,313,139,178,179,254,292,175,174,216
61,1443,2774,2773,1026,644,2984,3016,1063,683,1102
62,920,533,839,916,919,840,878,917,918,2213
63,139,214,362,217,292,175,178,254,174,216
64,1189,1218,2171,1188,1452,1454,1032,1450,2211,1183
65,219,313,435,256,472,424,434,426,427,474
66,2850,2888,2884,2774,2890,2845,2886,2887,2847,3018
67,924,1679,880,917,918,919,920,921,1682,1684
68,2587,2881,2888,2760,2875,2759,2838,2845,2886,2677
69,569,645,607,532,2938,719,683,644,3016,568
70,2721,2722,2724,2725,2727,2728,2762,2767,2773,2964
71,568,451,528,489,570,450,683,259,646,296
72,716,681,683,715,719,753,755,756,987,1024
73,292,362,174,175,177,178,213,214,216,254
74,1161,1810,2341,1127,1203,1207,1199,1242,891,559
75,2546,1634,722,646,1633,681,1671,3006,683,719
76,2592,2512,2632,2477,2556,2514,2594,2515,2553,2593
77,2690,2768,2773,719,722,756,987,681,683,1024
78,1224,954,1450,1073,917,1032,952,1035,1181,1183
79,2763,756,987,2650,681,715,716,719,753,755
80,2841,2968,2838,2839,2677,2887,2881,2884,2845,2886
81,1161,917,920,1149,1684,1683,1435,1186,919,1226
82,1164,1338,1049,1130,1129,1125,1127,1168,1161,1435
83,2522,2478,2081,2562,843,2480,2518,884,844,2483
84,344,382,153,155,156,229,231,305,533,3026
85,684,568,3016,645,644,605,607,719,646,683
86,1338,1168,1127,1125,1161,919,1149,1186,1435,1226
87,78,124,85,58,92,90,89,49,86,88
88,1409,1030,954,2210,913,1145,953,952,1181,1183
89,216,173,2995,408,214,362,519,212,175,174
90,493,342,1976,1102,379,1938,530,531,1900,568
91,60,85,58,92,124,90,89,49,88,86
92,531,152,189,265,340,303,263,227,266,2935
93,1522,1220,2210,2211,1145,952,1182,2281,1181,1183
94,645,530,531,570,683,532,644,3016,569,568
95,3016,2938,493,530,683,532,645,531,569,568
96,2645,2466,2674,3018,677,2081,2676,2677,2763,751
97,493,683,530,570,531,644,532,3016,569,568
98,2632,2593,2594,2678,2676,2677,2679,2716,2719,2758
99,1224,1452,2213,1107,1145,1183,1186,1188,1189,2366
100,645,2938,570,683,531,532,3016,644,569,568
101,791,1057,1058,1134,1703,2043,2647,2648,2649,2650
102,1900,493,683,530,379,531,1860,3013,569,568
103,645,570,531,2938,3016,683,644,532,569,568
104,2935,570,493,645,531,532,644,3016,569,568
105,69,188,70,71,30,38,35,73,36,296
106,1144,1450,1184,2213,1107,1182,2366,1145,1181,1183
107,85,123,84,92,426,90,89,86,49,88
108,228,531,645,3013,2935,532,644,3016,569,568
109,2243,533,685,724,838,953,989,1027,1065,3026
110,2734,2505,720,2658,2938,681,2771,2810,645,2696
111,1148,1452,1186,1189,1224,1145,1450,1187,1188,1183
112,2092,2129,2130,2167,2168,2243,2244,2281,2282,2960
113,228,683,532,493,531,645,3016,3013,569,568
114,362,213,292,174,175,177,178,214,216,254
115,1435,2005,3025,1472,675,1208,2941,2647,2081,751
116,2121,2158,2645,2647,2648,2650,2682,2722,2724,2727
117,1128,1472,2382,1130,1129,2421,2081,1168,1161,1435
118,2555,2552,2556,2477,2514,2593,2594,2512,2515,2553
119,1776,1129,1435,2042,751,1128,1161,1472,1168,2081
120,2320,1103,1255,2168,2167,1484,2243,2282,1522,2281
121,1199,1127,1164,1166,1161,1300,1334,1203,1163,2420
122,607,3013,3016,684,532,683,531,645,569,568
123,1435,2941,1300,1130,1017,1168,1049,1161,2421,2081
124,2054,2092,2129,2130,2167,2168,2282,2931,2960,3034
125,679,2763,3008,677,2674,751,716,2677,2676,3018
126,46,92,426,84,86,90,123,89,49,88
127,569,1633,1898,684,531,1102,3013,683,645,568
128,228,266,683,570,531,644,3016,568,569,532
129,2250,2482,884,1181,2097,2176,2480,751,2211,2081
130,1226,1161,1189,1168,1454,1188,1148,1149,1187,1186
131,1130,1188,1682,1684,949,1075,1112,1148,1149,1186
132,263,1327,38,30,152,148,70,35,73,36
133,1161,1472,2081,1049,709,675,1208,751,1168,2941
134,684,2735,3016,644,722,2695,683,2810,2734,645
135,530,266,73,1102,263,227,379,531,340,2935
136,684,493,379,1633,683,1063,531,1102,645,568
137,379,2697,683,1938,493,2938,530,569,531,568
138,2513,2594,2593,2477,2510,2881,2550,2395,2514,2512
139,1102,493,3016,530,683,532,531,645,569,568
140,1129,2079,1125,1186,1776,1130,1149,1168,1148,2081
141,684,2657,2658,645,2938,683,756,758,681,719
142,1472,710,561,675,751,2941,1168,709,1049,1208
143,803,2478,653,844,845,843,2441,882,2443,884
144,560,371,664,520,173,408,522,519,555,521
145,342,493,530,683,532,569,645,531,568,1102
146,605,683,531,644,570,532,646,569,568,3016
147,1002,1038,1159,1186,1470,1134,1040,1678,884,2081
148,2677,2678,2679,2716,2718,2719,2721,2758,2760,2761
149,2382,2458,1017,1049,2646,1161,2647,2460,2081,2421
150,1101,1443,722,1026,3016,644,683,645,1063,1102
151,31,148,38,30,227,152,70,35,73,36
152,644,1102,2697,683,532,493,531,645,569,568
153,2808,720,722,756,2773,681,683,719,2695,2736
154,779,2480,843,918,885,842,920,884,886,919
155,2382,1161,1472,1208,2941,1049,2081,1168,2458,2421
156,683,569,570,608,722,644,1063,2697,1102,645
157,530,683,3016,644,493,532,531,645,569,568
158,3016,340,530,1102,683,531,645,532,569,568
159,1443,1900,531,1938,722,683,2697,645,1102,568
160,522,716,753,521,754,715,751,525,677,755
161,2354,683,2697,1026,722,1938,1900,645,1102,568
162,818,1049,174,1168,2941,709,2561,783,1208,1339
163,3016,683,570,568,644,531,1102,569,645,532
164,1026,683,531,2354,1936,1938,1102,1900,645,568
165,493,722,2697,342,531,530,456,1938,568,1102
166,215,214,177,216,440,2961,174,212,254,362
167,1899,646,1862,2658,1898,2697,2657,683,645,2938
168,1521,2243,2167,1103,1484,2320,1181,1903,1522,2281
169,384,422,460,495,533,536,574,724,2978,3026
170,532,493,683,1063,530,569,645,531,568,1102
171,3018,2922,2884,2883,2968,2881,2885,2888,2845,2886
172,606,263,644,340,568,570,531,569,3016,2935
173,1129,2647,1776,1435,1130,1161,2382,2421,1168,2081
174,2696,2768,722,720,1102,2695,756,681,683,719
175,177,212,213,365,174,175,214,216,254,362
176,2517,2554,2555,2593,2556,2477,2512,2514,2515,2553
177,2647,2727,715,716,753,755,791,2648,2650,2682
178,2722,2213,2512,2445,2158,2447,2483,2484,2727,2964
179,2697,2771,2773,2808,2810,684,722,645,1102,683
180,266,22,76,75,73,227,38,152,35,36
181,263,76,73,75,266,227,38,152,35,36
182,2015,2016,2092,2130,2167,2168,2243,2281,2282,2960
183,2941,1130,1049,1017,1168,2460,1161,2081,1435,2421
184,493,684,3013,379,1102,569,531,683,645,568
185,227,608,1063,379,493,532,531,568,530,1102
186,1738,709,1049,1159,1038,1121,1168,1161,2081,884
187,1129,2382,1337,1130,1435,1776,2988,1168,1161,2081
188,1339,822,1472,1168,1161,2647,783,2643,2567,2081
189,2167,2960,952,1255,2168,2282,1484,1522,2243,2281
190,2420,1435,709,2973,2081,2421,1334,1017,1049,1161
191,644,722,2771,2697,2938,2695,2810,2734,568,645
192,303,340,3013,568,532,570,644,2935,569,3016
193,569,722,568,531,532,342,456,2697,1063,1102
194,598,1703,562,634,1161,1207,672,2081,561,559
195,1454,1229,1452,1220,1450,1189,1409,1187,1181,1183
196,1145,1452,1073,1189,1186,1187,1188,1224,1450,1183
197,2153,1301,1300,1297,1666,1017,1049,1163,1161,1334
198,440,365,408,369,212,555,371,2961,519,174
199,2719,2593,2632,2679,2512,2676,2674,2716,2758,2677
200,2556,2516,2517,2515,2439,2514,2512,2477,2478,2483
201,1083,1663,709,1017,1049,2382,2460,1161,2421,2081
202,1903,1521,2168,1103,2282,2167,2243,1484,1522,2281
203,2916,2923,2884,2968,2925,2887,2917,2886,2847,3018
204,2697,2938,532,683,493,530,645,531,569,568
205,1199,559,1168,1300,1166,1164,1161,1203,1334,1163
206,647,649,685,953,2243,533,571,724,1027,3026
207,2682,2645,2716,2677,2678,2722,2081,2720,2676,2721
208,266,228,3013,227,569,303,263,531,340,2935
209,1149,1226,1452,1454,1224,1188,1450,1183,1186,1187
210,2884,2851,2847,2924,2968,2921,2845,2888,3018,2886
211,2510,2512,2632,2719,2593,2716,2758,2674,2676,2677
212,3013,228,569,266,303,227,263,531,340,2935
213,552,437,474,206,237,475,514,427,400,254
214,188,570,644,3016,3013,228,569,266,227,2935
215,1203,1161,1208,1049,1321,561,559,1334,1168,1017
216,2683,2716,2718,2719,2720,2721,2722,2758,2939,2964
217,3008,840,848,2404,2443,2444,2478,2482,2483,2518
218,1936,342,1026,645,379,531,1938,1102,1900,568
219,1083,1208,709,2382,1663,1207,1017,561,1049,1161
220,440,177,292,213,254,214,175,174,178,216
221,684,758,644,3016,532,683,2938,2697,645,568
222,793,753,2505,2617,794,987,755,681,719,756
223,1199,845,847,1159,1161,1470,1040,1163,2081,884
224,1671,2695,722,2772,684,3016,1102,644,683,645
225,1129,1130,1125,1168,1184,2081,1188,1148,1149,1186
226,2982,2674,2676,2677,2679,2716,2718,2719,2754,2758
227,560,557,664,709,562,596,666,630,561,559
228,570,684,722,3016,569,2697,683,644,1102,645
229,2081,2082,2158,2645,2647,2648,2650,2682,2722,2727
230,1101,722,987,608,532,1026,531,568,683,1102
231,1776,2988,1128,1130,1472,1163,1129,1168,1161,1435
232,114,2937,76,75,38,152,30,35,73,36
233,71,68,74,2937,30,17,73,38,35,36
234,1168,1187,1183,1450,2081,1184,1188,1149,1148,1186
235,1450,1168,1454,1181,1453,1186,2081,2211,1109,1149
236,533,839,1030,1065,1103,1181,878,1027,2281,1183
237,951,952,990,1255,1407,1484,1521,1522,2168,2960
238,2092,2129,2130,2167,2168,2243,2244,2281,2282,2960
239,530,722,379,1102,2697,2938,569,1938,531,568
240,606,379,569,266,303,227,531,263,340,2935
241,1409,1903,991,2322,1484,1103,1522,1183,1181,2211
242,123,177,237,292,474,179,400,216,254,427
243,402,403,407,173,400,401,440,552,514,2961
244,722,1444,1140,1443,683,1671,1101,1026,1102,1063
245,2690,715,792,2086,716,2085,2650,2763,753,755
246,2395,2593,1409,3018,1407,878,2210,2211,2512,2477
247,2012,569,494,568,722,2697,1938,342,456,1102
248,1026,568,569,530,342,532,531,456,1063,1102
249,2619,2123,679,2689,2763,2767,2728,2690,2727,2211
250,2167,2168,2205,2243,2244,2281,2282,2931,2960,3034
251,751,2500,1096,1665,1741,2646,2460,1703,2647,2081
252,568,722,1900,531,342,456,530,1026,1063,1102
253,722,2697,644,568,532,570,645,569,531,1102
254,1199,1002,848,844,1163,812,1161,847,1040,884
255,2005,2500,1436,2382,1161,1435,2647,2460,2421,2081
256,2354,569,683,2697,531,1102,1900,1938,645,568
257,2440,2478,2360,2363,2366,2369,2445,2447,2483,2484
258,1128,1435,1130,1334,1049,1776,1168,2988,1161,2081
259,1900,684,379,1102,3013,531,569,683,645,568
260,1128,1186,1472,1130,1337,1129,2081,1168,1161,1435
261,1145,1068,2213,1107,2323,2285,2211,2322,2360,2366
262,1129,1049,2004,1337,1435,1128,1130,1168,1161,2081
263,951,952,1181,1255,1407,1484,1521,1522,2168,2960
264,949,70,987,74,69,35,38,2937,30,36
265,2947,1282,1700,1738,789,1128,1199,1163,1161,2081
266,848,803,884,623,656,617,805,615,653,622
267,531,683,605,644,570,532,569,646,568,3016
268,228,38,73,263,266,35,152,227,340,36
269,2716,2718,2719,2720,2721,2722,2754,2758,2760,2761
270,1484,1522,2168,1255,1407,952,2243,1103,1181,2281
271,2773,719,987,1024,2690,2728,2768,681,683,756
272,722,756,1063,2126,681,683,715,719,1024,2011
273,1718,1719,1720,1722,1723,1724,1725,1735,2035,2952
274,259,607,684,753,646,683,715,719,754,783
275,2016,2054,2092,2129,2167,2168,2205,2206,2931,2960
276,2168,2205,2206,2243,2244,2281,2282,2931,2960,3034
277,181,186,679,753,220,258,259,677,716,755
278,524,1703,677,487,1439,1058,1476,525,683,715
279,1109,842,880,846,843,2081,1032,882,1306,884
280,2116,2153,2341,2376,2380,2382,2413,2416,2420,2496
281,681,683,715,719,753,755,756,1024,2011,2126
282,1366,987,1634,1633,1671,681,646,1024,683,719
283,174,175,177,214,216,254,292,365,371,408
284,2341,887,891,896,919,920,975,1127,1199,1242
285,2728,681,1063,2619,2849,722,756,2964,683,719
286,786,1809,2081,1666,788,933,1199,787,751,819
287,917,1148,920,1187,1035,1075,1188,1226,1149,1186
288,681,684,1366,987,605,607,646,683,719,1024
289,154,574,153,155,156,229,231,499,533,3026
290,2168,2205,2206,2243,2244,2281,2282,2931,2960,3034
291,2416,2417,2420,2452,2453,2496,2569,2606,2948,2980
292,1338,1188,1161,919,1125,1168,1226,1149,1186,1435
293,918,1075,1148,1032,1149,1188,880,1186,2213,1035
294,2167,2168,2205,2243,2244,2281,2282,2931,2960,3026
295,1025,1435,1777,1096,921,924,884,1778,3008,1436
296,1186,1452,1189,1147,1185,1035,1073,1075,1224,1681
297,913,1027,1065,1447,1484,951,952,953,1181,1183
298,570,607,493,683,645,531,532,3016,569,568
299,557,596,1168,666,1205,561,630,2994,1207,559
300,719,755,756,987,1024,1025,1063,2011,2085,2086
301,1183,1185,1147,1452,1075,1189,1035,1073,1224,1681
302,1075,1073,1183,1450,1680,917,1224,1032,1681,1035
303,569,570,607,605,532,644,646,683,568,3016
304,532,263,531,646,644,570,568,2935,569,3016
305,1026,1063,2158,2647,2648,2682,2724,2727,2728,2964
306,1168,2977,630,1207,1242,1203,596,595,561,559
307,1472,783,1130,1435,1049,2941,752,675,1208,1168
308,606,644,683,570,340,531,568,569,3016,2935
309,644,570,530,3016,532,683,3013,645,569,568
310,1147,1185,1452,1189,1075,1183,1073,1681,1035,1224
311,2205,2206,2243,2244,2281,2282,2893,2931,2960,3034
312,644,379,683,570,340,531,569,568,3016,2935
313,1125,1130,1129,885,1168,1683,1161,1127,919,1435
314,2085,2086,681,683,719,755,756,987,1024,2011
315,719,1024,568,570,605,607,644,646,683,3016
316,919,1165,887,1161,1166,1203,1199,891,1163,1127
317,1107,1182,1184,1450,952,2210,2213,1145,1181,1183
318,595,2994,1168,630,596,1207,1208,1203,561,559
319,1338,885,1129,1168,1127,1125,1226,1161,919,1435
320,683,531,532,568,569,570,605,644,646,3016
321,1075,1452,1073,1189,1413,1681,1450,1035,1183,1224
322,78,231,307,344,346,155,229,533,156,3026
323,2551,2632,2589,2593,2515,2591,2587,2677,2590,2881
324,607,532,569,570,605,568,644,646,683,3016
